month,week_of_month,day_of_week,make,accident_area,month_claimed,week_of_month_claimed,day_of_week_claimed,year,weeks_past,is_holidayweek_claim,sex,marital_status,fault,vehicle_category,vehicle_price,rep_number,deductible,driver_rating,days_policy-accident,days_policy-claim,past_number_of_claims,age_of_vehicle,age_of_policy-holder,police_report_filed,witness_present,agent_type,number_of_suppliments,address_change-claim,number_of_cars,base_policy,class
jan,5,friday,honda,rural,feb,1,wed,1994,1,0,male,single,third-party,sedan,>69,12,400,3,>30,>30,none,4-Jan,16<=X<=17,no,no,external,none,none,<3,collision,legal
jan,5,monday,ford,urban,feb,1,thu,1994,1,0,male,married,policy-holder,sport,>69,3,400,1,>30,>30,none,8,51<=X<=65,no,no,external,none,none,<3,liability,legal
aug,4,tuesday,ford,urban,aug,5,mon,1994,1,0,male,single,policy-holder,sport,>69,16,400,1,>30,>30,none,6,36<=X<=40,no,no,external,none,none,<3,liability,legal
apr,4,thursday,ford,urban,may,1,wed,1994,2,0,male,married,policy-holder,sedan,>69,15,400,4,>30,>30,none,7,36<=X<=40,no,no,external,none,none,<3,all-perils,legal
jul,5,sunday,chevrolet,urban,aug,1,wed,1994,1,0,female,married,third-party,sedan,20<=X<=29,6,400,1,>30,>30,none,7,31<=X<=35,no,no,external,1<=X<=2,none,<3,collision,legal
may,4,thursday,pontiac,urban,may,5,mon,1994,1,1,male,single,policy-holder,sport,20<=X<=29,6,400,1,>30,>30,one,7,31<=X<=35,no,no,external,none,none,<3,liability,legal
apr,4,monday,honda,urban,may,1,tue,1994,2,0,male,married,third-party,sport,>69,2,400,2,>30,>30,2<=X<=4,6,31<=X<=35,no,no,external,>5,none,<3,liability,legal
apr,2,friday,mazda,urban,may,1,tue,1994,4,0,male,married,policy-holder,sport,20<=X<=29,3,400,1,>30,>30,one,8,36<=X<=40,no,no,external,>5,none,<3,liability,legal
jan,2,saturday,chevrolet,urban,jan,2,mon,1994,0,0,male,married,policy-holder,sedan,20<=X<=29,13,400,2,>30,>30,one,8,41<=X<=50,no,no,external,none,4<=X<=8,<3,collision,legal
aug,3,sunday,mazda,urban,aug,5,thu,1994,2,0,male,married,policy-holder,sport,20<=X<=29,8,400,3,>30,>30,one,8,51<=X<=65,no,no,external,1<=X<=2,none,<3,liability,legal
jun,3,saturday,pontiac,urban,jun,3,tue,1994,0,0,male,single,third-party,sport,30<=X<=39,5,400,3,>30,>30,none,6,31<=X<=35,no,no,external,3<=X<=5,none,<3,liability,legal
sep,3,friday,mazda,urban,sep,3,fri,1994,0,0,male,married,policy-holder,sedan,>69,12,400,3,>30,>30,>4,8,36<=X<=40,yes,no,external,none,none,<3,all-perils,legal
mar,3,monday,pontiac,urban,apr,1,tue,1994,3,1,male,married,policy-holder,sport,20<=X<=29,16,400,4,>30,>30,>4,8,51<=X<=65,no,no,external,none,none,<3,liability,legal
mar,3,thursday,honda,urban,jun,4,thu,1994,16,0,male,married,policy-holder,sedan,30<=X<=39,1,400,2,>30,>30,>4,5,26<=X<=30,no,no,external,>5,none,<3,collision,legal
may,3,sunday,accura,urban,may,4,fri,1994,1,0,male,married,policy-holder,sedan,30<=X<=39,1,400,3,>30,>30,2<=X<=4,7,36<=X<=40,no,no,external,1<=X<=2,none,<3,all-perils,legal
jul,1,saturday,honda,urban,sep,4,tue,1994,13,0,male,single,policy-holder,sedan,>69,9,400,1,>30,>30,none,4-Jan,16<=X<=17,no,no,external,none,none,<3,all-perils,fraud
may,3,monday,mazda,urban,may,4,wed,1994,1,0,female,married,policy-holder,sedan,20<=X<=29,12,400,3,>30,>30,none,7,36<=X<=40,no,no,external,none,none,<3,collision,legal
mar,2,friday,dodge,urban,mar,2,sat,1994,0,0,male,married,policy-holder,sedan,30<=X<=39,2,400,1,>30,>30,2<=X<=4,8,41<=X<=50,no,no,internal,none,none,<3,collision,legal
mar,1,sunday,honda,urban,mar,2,tue,1994,1,0,male,single,policy-holder,sedan,>69,6,400,1,>30,>30,one,4-Jan,16<=X<=17,no,no,external,none,none,<3,collision,legal
mar,2,wednesday,chevrolet,urban,mar,2,wed,1994,0,0,male,single,policy-holder,sedan,20<=X<=29,2,400,3,>30,>30,>4,7,36<=X<=40,no,no,external,3<=X<=5,none,<3,collision,legal
jan,4,monday,honda,urban,jan,4,tue,1994,0,0,male,single,third-party,sedan,20<=X<=29,2,400,4,>30,>30,none,6,31<=X<=35,no,no,external,1<=X<=2,none,<3,collision,legal
jan,4,tuesday,ford,urban,jan,4,wed,1994,0,0,male,married,policy-holder,utility,>69,12,400,1,>30,>30,2<=X<=4,7,36<=X<=40,no,no,external,none,none,<3,all-perils,legal
oct,2,wednesday,chevrolet,urban,oct,2,thu,1994,0,1,male,single,third-party,sport,20<=X<=29,5,400,3,>30,>30,2<=X<=4,7,31<=X<=35,no,no,external,>5,none,<3,liability,legal
oct,2,tuesday,honda,urban,oct,3,thu,1994,1,0,male,married,third-party,sedan,20<=X<=29,11,400,4,>30,>30,none,6,31<=X<=35,no,no,external,>5,none,<3,collision,legal
sep,2,friday,mazda,urban,sep,3,fri,1994,1,0,male,single,policy-holder,sedan,30<=X<=39,4,400,2,>30,>30,none,7,31<=X<=35,no,no,external,>5,none,<3,collision,legal
nov,4,tuesday,honda,urban,nov,4,thu,1994,0,1,male,married,policy-holder,sport,>69,12,400,1,>30,>30,none,8,41<=X<=50,no,no,external,none,none,<3,collision,legal
nov,4,thursday,toyota,urban,jan,1,tue,1994,7,1,male,married,policy-holder,sedan,20<=X<=29,1,400,3,>30,>30,none,7,31<=X<=35,no,no,external,1<=X<=2,none,<3,collision,legal
mar,4,wednesday,chevrolet,urban,apr,1,wed,1994,2,1,female,married,policy-holder,sedan,20<=X<=29,11,400,1,>30,>30,2<=X<=4,6,31<=X<=35,no,no,external,>5,none,<3,collision,legal
mar,3,friday,pontiac,urban,mar,4,wed,1994,1,0,male,married,policy-holder,sedan,20<=X<=29,15,400,1,>30,>30,2<=X<=4,7,36<=X<=40,no,no,external,3<=X<=5,none,3<=X<=4,all-perils,legal
jul,1,monday,toyota,urban,jul,1,mon,1994,0,0,female,single,policy-holder,sport,20<=X<=29,12,400,4,>30,>30,none,4-Jan,36<=X<=40,no,no,external,none,4<=X<=8,<3,liability,legal
jan,3,tuesday,honda,urban,jan,4,mon,1994,1,0,male,married,policy-holder,sedan,20<=X<=29,5,400,2,>30,>30,2<=X<=4,7,36<=X<=40,no,no,external,1<=X<=2,none,<3,collision,legal
jan,3,wednesday,toyota,urban,jan,4,wed,1994,1,0,male,married,third-party,sedan,20<=X<=29,16,400,1,>30,>30,none,8,>65,no,no,external,none,none,<3,collision,legal
feb,2,wednesday,pontiac,urban,feb,2,thu,1994,0,0,female,married,third-party,sedan,<20,8,400,3,>30,>30,2<=X<=4,5,31<=X<=35,no,no,external,none,none,<3,all-perils,legal
feb,2,thursday,pontiac,urban,feb,3,mon,1994,1,0,male,single,third-party,sedan,30<=X<=39,9,400,4,>30,>30,none,6,31<=X<=35,no,no,internal,none,none,<3,collision,legal
nov,4,thursday,mazda,urban,nov,4,fri,1994,0,1,male,married,policy-holder,sport,30<=X<=39,13,400,3,>30,>30,2<=X<=4,5,36<=X<=40,no,no,external,>5,none,<3,liability,legal
apr,3,thursday,chevrolet,urban,may,1,thu,1994,3,0,female,married,policy-holder,sport,>69,10,400,1,>30,>30,2<=X<=4,6,36<=X<=40,no,no,external,3<=X<=5,none,<3,liability,legal
apr,3,friday,pontiac,urban,apr,3,tue,1994,0,0,male,married,policy-holder,sedan,20<=X<=29,9,400,4,>30,>30,>4,8,51<=X<=65,no,no,external,3<=X<=5,none,<3,collision,legal
may,4,friday,pontiac,urban,may,4,fri,1994,0,0,male,married,policy-holder,sport,30<=X<=39,14,400,2,>30,>30,>4,8,41<=X<=50,no,no,external,none,none,<3,liability,legal
jun,4,wednesday,pontiac,urban,jun,4,fri,1994,0,0,male,married,policy-holder,sport,20<=X<=29,4,500,3,>30,>30,2<=X<=4,6,31<=X<=35,no,no,external,3<=X<=5,2<=X<=3,<3,liability,legal
jul,3,sunday,honda,rural,jan,4,wed,1994,31,0,male,married,policy-holder,sport,>69,4,400,4,>30,>30,none,4-Jan,26<=X<=30,no,no,external,3<=X<=5,none,<3,collision,fraud
jul,4,saturday,honda,urban,aug,2,wed,1994,3,0,male,married,policy-holder,sedan,20<=X<=29,13,400,1,>30,>30,none,8,41<=X<=50,no,no,external,3<=X<=5,none,<3,collision,fraud
jun,4,tuesday,pontiac,urban,jun,4,tue,1994,0,0,male,single,policy-holder,sedan,30<=X<=39,8,400,1,>30,>30,one,7,36<=X<=40,no,no,external,1<=X<=2,none,<3,collision,legal
dec,3,monday,mazda,urban,dec,3,wed,1994,0,0,male,married,third-party,sedan,20<=X<=29,7,400,4,>30,>30,none,8,41<=X<=50,no,no,external,3<=X<=5,none,<3,all-perils,legal
jun,4,friday,honda,urban,jun,5,thu,1994,1,0,male,single,policy-holder,sedan,20<=X<=29,5,400,4,>30,>30,2<=X<=4,6,31<=X<=35,no,no,external,none,none,<3,all-perils,legal
nov,2,friday,accura,urban,nov,2,mon,1994,0,1,male,single,policy-holder,sedan,>69,11,400,3,>30,>30,2<=X<=4,7,36<=X<=40,no,no,external,none,none,<3,collision,legal
may,1,monday,honda,rural,may,4,wed,1994,3,0,male,single,policy-holder,sport,>69,15,400,4,>30,>30,none,4-Jan,16<=X<=17,no,no,external,none,none,<3,liability,legal
may,1,wednesday,chevrolet,urban,may,2,mon,1994,1,0,female,single,policy-holder,sedan,20<=X<=29,4,400,4,>30,>30,none,6,31<=X<=35,no,no,external,1<=X<=2,none,<3,collision,legal
nov,1,monday,toyota,urban,nov,3,mon,1994,2,0,male,single,policy-holder,sedan,30<=X<=39,5,400,4,>30,>30,none,5,31<=X<=35,no,no,external,none,none,<3,all-perils,legal
sep,2,tuesday,pontiac,urban,jan,4,fri,1994,22,0,male,married,policy-holder,utility,40<=X<=59,6,400,4,>30,>30,none,8,41<=X<=50,no,no,external,none,none,<3,collision,legal
nov,4,sunday,honda,urban,jan,3,fri,1994,9,1,male,single,third-party,sedan,>69,3,400,2,>30,>30,2<=X<=4,4-Jan,16<=X<=17,no,no,external,none,none,<3,all-perils,legal
feb,5,monday,toyota,urban,mar,1,tue,1994,1,0,male,married,policy-holder,sport,20<=X<=29,13,400,3,>30,>30,2<=X<=4,7,31<=X<=35,no,no,external,>5,4<=X<=8,<3,liability,legal
dec,1,friday,pontiac,urban,dec,2,tue,1994,1,0,male,single,policy-holder,sedan,20<=X<=29,1,400,1,>30,>30,none,7,41<=X<=50,no,no,external,none,none,<3,collision,legal
dec,4,friday,mazda,urban,jan,2,mon,1994,3,0,male,single,policy-holder,sedan,20<=X<=29,6,400,3,>30,>30,none,7,31<=X<=35,no,no,external,none,none,<3,all-perils,legal
mar,3,friday,mercury,urban,mar,3,fri,1994,0,0,male,single,third-party,sedan,>69,16,400,2,>30,>30,one,7,36<=X<=40,no,no,external,>5,none,<3,collision,legal
aug,4,thursday,mazda,urban,aug,5,mon,1994,1,0,male,married,policy-holder,sport,30<=X<=39,12,400,1,>30,>30,2<=X<=4,8,51<=X<=65,no,no,external,>5,none,<3,liability,legal
jan,1,sunday,toyota,urban,jan,1,tue,1994,0,1,male,married,policy-holder,sedan,20<=X<=29,5,400,1,>30,>30,one,8,51<=X<=65,no,no,external,none,none,<3,collision,legal
jan,1,sunday,honda,urban,jan,1,wed,1994,0,1,male,married,policy-holder,sport,20<=X<=29,12,400,2,>30,>30,2<=X<=4,7,41<=X<=50,no,no,external,>5,none,<3,liability,legal
jan,1,sunday,honda,urban,jan,1,wed,1994,0,1,male,single,policy-holder,sedan,20<=X<=29,16,400,1,>30,>30,2<=X<=4,7,36<=X<=40,no,no,external,3<=X<=5,none,<3,collision,legal
jan,1,tuesday,mazda,urban,jan,1,thu,1994,0,1,male,married,policy-holder,sedan,20<=X<=29,9,400,3,>30,>30,one,6,31<=X<=35,no,no,external,1<=X<=2,none,<3,collision,legal
sep,4,thursday,chevrolet,urban,jan,5,mon,1994,21,0,female,single,third-party,sedan,20<=X<=29,5,400,3,15<=X<=30,>30,one,5,31<=X<=35,no,no,external,none,none,<3,collision,legal
jan,1,monday,honda,urban,jan,1,tue,1994,0,1,male,married,third-party,sedan,20<=X<=29,7,400,2,>30,>30,one,8,41<=X<=50,no,no,external,>5,none,<3,collision,legal
apr,5,saturday,mazda,urban,may,1,tue,1994,1,0,male,married,third-party,sedan,>69,12,400,3,>30,>30,>4,7,51<=X<=65,no,no,external,>5,none,<3,collision,legal
aug,1,saturday,ford,urban,aug,4,wed,1994,3,0,male,married,third-party,sedan,30<=X<=39,9,400,4,>30,>30,>4,6,31<=X<=35,no,no,external,none,none,<3,collision,legal
oct,4,tuesday,chevrolet,urban,jan,1,mon,1994,12,1,male,married,third-party,sedan,20<=X<=29,1,400,3,>30,>30,none,6,31<=X<=35,no,no,external,none,none,<3,all-perils,legal
feb,2,friday,honda,urban,feb,3,tue,1994,1,0,female,married,third-party,sport,>69,12,400,3,>30,>30,none,8,41<=X<=50,no,no,external,none,none,<3,collision,legal
feb,2,friday,jaguar,rural,feb,3,tue,1994,1,0,female,single,policy-holder,sport,30<=X<=39,16,400,1,>30,>30,2<=X<=4,5,31<=X<=35,no,no,external,3<=X<=5,none,<3,liability,legal
feb,4,saturday,toyota,urban,mar,1,fri,1994,2,0,female,married,third-party,sedan,30<=X<=39,10,400,1,>30,>30,2<=X<=4,7,31<=X<=35,no,no,external,>5,none,<3,collision,legal
jan,3,wednesday,pontiac,urban,jan,3,wed,1994,0,1,male,married,policy-holder,sport,20<=X<=29,13,400,4,>30,>30,2<=X<=4,6,36<=X<=40,no,no,external,none,none,<3,liability,legal
jan,3,thursday,mazda,urban,jan,4,fri,1994,1,0,male,single,third-party,sport,20<=X<=29,6,400,2,>30,>30,one,7,36<=X<=40,no,no,external,none,none,<3,liability,legal
dec,2,friday,chevrolet,urban,apr,3,thu,1994,21,0,male,married,third-party,sedan,>69,13,400,4,>30,>30,none,7,36<=X<=40,no,no,external,none,none,3<=X<=4,all-perils,legal
nov,5,tuesday,toyota,urban,feb,1,fri,1994,11,0,female,married,policy-holder,sport,20<=X<=29,9,400,4,>30,>30,none,6,36<=X<=40,no,no,external,1<=X<=2,none,<3,liability,legal
dec,1,wednesday,honda,urban,jan,1,mon,1994,5,1,male,single,policy-holder,sport,>69,6,400,2,>30,>30,>4,4-Jan,16<=X<=17,no,no,external,none,4<=X<=8,<3,liability,legal
dec,2,tuesday,chevrolet,rural,mar,1,tue,1994,14,0,male,married,policy-holder,utility,>69,4,400,4,>30,>30,one,6,31<=X<=35,no,no,external,>5,none,<3,liability,legal
may,4,tuesday,toyota,urban,may,4,wed,1994,0,0,male,single,policy-holder,sedan,20<=X<=29,14,400,3,>30,>30,one,6,31<=X<=35,no,no,external,>5,none,<3,collision,legal
may,4,sunday,mazda,urban,may,4,wed,1994,0,0,male,single,third-party,sedan,20<=X<=29,1,400,2,>30,>30,2<=X<=4,4-Jan,36<=X<=40,no,no,external,>5,none,<3,all-perils,legal
oct,5,saturday,pontiac,urban,oct,5,mon,1994,0,0,male,married,third-party,sedan,30<=X<=39,13,400,4,>30,>30,none,7,>65,no,no,external,3<=X<=5,none,<3,all-perils,legal
oct,4,sunday,honda,urban,oct,4,mon,1994,0,0,male,single,policy-holder,sport,20<=X<=29,8,400,2,>30,>30,2<=X<=4,4-Jan,26<=X<=30,no,no,external,none,none,<3,liability,legal
oct,4,sunday,honda,urban,oct,4,tue,1994,0,0,female,single,third-party,sport,>69,2,400,1,>30,>30,none,6,26<=X<=30,no,no,external,>5,none,<3,collision,legal
jan,2,wednesday,pontiac,urban,jan,2,wed,1994,0,0,male,single,policy-holder,sport,20<=X<=29,13,400,2,>30,>30,>4,7,36<=X<=40,no,no,external,3<=X<=5,one,<3,liability,legal
jan,2,thursday,honda,urban,jan,4,mon,1994,2,0,male,married,policy-holder,sedan,30<=X<=39,16,400,1,>30,>30,2<=X<=4,7,36<=X<=40,no,no,external,none,none,<3,all-perils,legal
aug,4,saturday,pontiac,urban,aug,5,mon,1994,1,0,male,married,policy-holder,sedan,20<=X<=29,13,700,3,>30,>30,2<=X<=4,7,36<=X<=40,no,no,external,>5,none,<3,collision,legal
nov,2,thursday,honda,urban,jan,3,fri,1994,11,1,male,single,policy-holder,sport,>69,7,400,3,>30,>30,none,7,31<=X<=35,no,no,external,3<=X<=5,none,<3,collision,fraud
may,2,tuesday,honda,urban,may,2,thu,1994,0,0,male,married,third-party,sedan,30<=X<=39,15,400,4,>30,>30,none,8,51<=X<=65,no,no,external,>5,none,<3,collision,legal
nov,2,friday,toyota,urban,jan,1,tue,1994,9,1,male,married,policy-holder,sedan,20<=X<=29,7,400,2,>30,>30,one,7,36<=X<=40,no,no,external,none,none,<3,collision,fraud
jan,3,thursday,toyota,urban,jan,4,mon,1994,1,0,male,single,policy-holder,sedan,<20,4,400,4,>30,>30,one,7,36<=X<=40,no,no,external,none,none,<3,all-perils,legal
nov,3,monday,pontiac,urban,jan,4,wed,1994,11,0,male,married,third-party,sedan,20<=X<=29,12,400,4,>30,>30,2<=X<=4,7,36<=X<=40,no,no,external,none,none,<3,all-perils,legal
jan,4,friday,pontiac,urban,jan,5,mon,1994,1,0,male,married,policy-holder,sedan,20<=X<=29,10,400,1,>30,>30,one,7,36<=X<=40,no,no,external,none,none,<3,all-perils,legal
nov,3,tuesday,chevrolet,urban,jan,2,wed,1994,9,0,male,married,policy-holder,utility,>69,2,400,1,>30,>30,>4,7,31<=X<=35,no,no,external,>5,none,<3,all-perils,fraud
jan,5,saturday,pontiac,urban,jan,5,mon,1994,0,0,female,married,third-party,sedan,20<=X<=29,10,400,4,>30,>30,one,6,31<=X<=35,no,no,external,none,none,<3,all-perils,legal
jan,4,friday,ford,urban,feb,1,mon,1994,2,0,female,married,policy-holder,sedan,>69,14,500,2,>30,>30,2<=X<=4,6,36<=X<=40,yes,no,external,3<=X<=5,none,<3,all-perils,legal
jan,1,thursday,mazda,urban,jan,2,tue,1994,1,0,male,married,policy-holder,sedan,20<=X<=29,14,400,3,>30,>30,none,8,41<=X<=50,no,no,external,>5,none,<3,all-perils,legal
jan,1,tuesday,pontiac,urban,jan,1,thu,1994,0,1,male,single,third-party,sedan,20<=X<=29,12,400,4,>30,>30,2<=X<=4,7,31<=X<=35,no,no,external,1<=X<=2,none,<3,all-perils,legal
dec,3,friday,dodge,urban,dec,3,sat,1994,0,0,male,married,policy-holder,sport,>69,5,400,1,>30,>30,none,7,31<=X<=35,no,no,external,1<=X<=2,4<=X<=8,<3,liability,legal
aug,1,monday,mazda,urban,aug,1,thu,1994,0,0,male,married,policy-holder,sedan,20<=X<=29,11,400,2,>30,>30,2<=X<=4,7,31<=X<=35,no,no,external,none,none,<3,collision,legal
nov,4,sunday,pontiac,urban,apr,2,thu,1994,23,0,male,married,third-party,sedan,20<=X<=29,11,400,1,>30,>30,none,7,36<=X<=40,no,no,external,none,none,<3,all-perils,legal
jun,1,thursday,chevrolet,urban,oct,4,thu,1994,23,0,male,married,policy-holder,sedan,20<=X<=29,1,400,1,>30,>30,one,8,41<=X<=50,no,no,external,none,none,<3,all-perils,legal
mar,1,thursday,honda,urban,mar,1,fri,1994,0,0,male,married,policy-holder,sport,20<=X<=29,16,400,4,>30,>30,none,6,36<=X<=40,no,no,external,none,none,<3,liability,legal
may,2,tuesday,toyota,urban,sep,1,fri,1994,19,0,male,single,policy-holder,sedan,20<=X<=29,4,400,2,>30,>30,2<=X<=4,5,26<=X<=30,no,no,external,none,none,<3,collision,legal
may,2,monday,pontiac,urban,may,2,thu,1994,0,0,male,single,policy-holder,sedan,20<=X<=29,6,400,3,>30,>30,2<=X<=4,6,31<=X<=35,no,no,external,none,none,<3,all-perils,legal
nov,4,thursday,honda,urban,dec,5,thu,1994,6,0,male,married,third-party,sedan,20<=X<=29,9,400,1,>30,>30,none,6,31<=X<=35,no,no,external,none,none,<3,all-perils,legal
nov,4,thursday,accura,rural,jan,2,tue,1994,8,0,male,married,policy-holder,utility,>69,10,400,2,>30,>30,none,8,51<=X<=65,no,no,external,none,none,<3,all-perils,fraud
dec,4,monday,chevrolet,urban,jan,1,wed,1994,2,1,male,married,third-party,sedan,20<=X<=29,2,400,3,>30,>30,one,8,41<=X<=50,no,no,external,>5,none,<3,collision,legal
dec,2,tuesday,honda,urban,jan,2,wed,1994,5,0,male,single,third-party,sport,>69,2,400,1,>30,>30,2<=X<=4,4-Jan,18<=X<=20,no,no,external,3<=X<=5,none,<3,collision,legal
nov,5,tuesday,pontiac,urban,nov,5,tue,1994,0,0,male,married,third-party,sedan,30<=X<=39,12,400,2,>30,>30,one,7,31<=X<=35,no,yes,external,>5,none,<3,collision,legal
aug,2,monday,pontiac,urban,aug,5,tue,1994,3,0,male,single,policy-holder,sport,20<=X<=29,4,400,3,>30,>30,2<=X<=4,6,31<=X<=35,no,no,external,3<=X<=5,none,<3,liability,legal
nov,5,monday,mazda,urban,dec,1,wed,1994,1,0,male,single,policy-holder,sedan,20<=X<=29,9,400,3,>30,>30,2<=X<=4,5,>65,no,no,external,none,none,<3,all-perils,fraud
dec,1,friday,honda,rural,dec,3,fri,1994,2,0,male,single,policy-holder,sedan,>69,7,400,3,>30,>30,none,4-Jan,16<=X<=17,no,no,external,none,none,<3,all-perils,fraud
feb,1,friday,honda,rural,mar,3,fri,1994,7,0,male,single,policy-holder,sedan,>69,8,400,3,>30,>30,none,4-Jan,16<=X<=17,no,no,external,none,none,<3,all-perils,legal
oct,2,wednesday,honda,rural,oct,3,mon,1994,1,0,female,married,third-party,sport,>69,12,400,4,>30,>30,none,4-Jan,21<=X<=25,no,no,external,1<=X<=2,none,<3,collision,legal
jun,3,monday,pontiac,urban,jun,3,mon,1994,0,0,male,single,policy-holder,sedan,>69,2,400,1,>30,>30,>4,6,31<=X<=35,no,no,external,1<=X<=2,none,<3,collision,legal
apr,4,tuesday,honda,urban,apr,4,tue,1994,0,0,male,married,policy-holder,sedan,20<=X<=29,1,400,4,>30,>30,>4,8,41<=X<=50,no,no,external,none,none,3<=X<=4,collision,legal
feb,2,sunday,toyota,urban,feb,2,mon,1994,0,0,male,single,third-party,sedan,30<=X<=39,6,400,3,>30,>30,none,6,26<=X<=30,no,no,external,3<=X<=5,none,<3,all-perils,legal
feb,2,saturday,pontiac,urban,feb,2,mon,1994,0,0,female,married,policy-holder,sport,20<=X<=29,16,400,4,>30,>30,2<=X<=4,7,31<=X<=35,no,no,external,>5,none,<3,liability,legal
jan,4,saturday,dodge,urban,mar,1,mon,1994,7,0,male,married,policy-holder,sedan,30<=X<=39,15,400,2,>30,>30,none,8,41<=X<=50,yes,no,external,none,4<=X<=8,<3,collision,legal
jan,4,sunday,mazda,urban,jan,5,tue,1994,1,0,male,married,policy-holder,sport,30<=X<=39,13,400,3,>30,>30,2<=X<=4,7,36<=X<=40,no,no,external,>5,none,<3,liability,legal
jan,4,sunday,chevrolet,rural,jan,4,mon,1994,0,0,male,married,third-party,sport,30<=X<=39,9,400,3,>30,>30,>4,6,31<=X<=35,no,yes,external,none,none,<3,liability,legal
nov,4,monday,honda,urban,nov,4,tue,1994,0,1,male,single,policy-holder,sedan,20<=X<=29,14,400,3,>30,>30,2<=X<=4,7,31<=X<=35,no,no,external,3<=X<=5,none,<3,collision,legal
jul,2,friday,pontiac,urban,jul,2,fri,1994,0,0,male,single,policy-holder,sedan,20<=X<=29,10,400,1,>30,>30,>4,5,31<=X<=35,no,no,external,>5,none,<3,collision,legal
apr,4,thursday,honda,urban,apr,4,fri,1994,0,0,male,single,third-party,sedan,20<=X<=29,14,400,3,>30,>30,none,4-Jan,21<=X<=25,no,no,external,>5,none,<3,collision,legal
oct,3,thursday,pontiac,urban,oct,4,thu,1994,1,0,male,married,third-party,sedan,20<=X<=29,6,400,4,>30,>30,2<=X<=4,8,51<=X<=65,no,no,external,1<=X<=2,none,<3,collision,legal
oct,3,friday,ford,urban,oct,3,fri,1994,0,0,male,married,policy-holder,sedan,>69,12,400,3,>30,>30,none,8,41<=X<=50,no,no,external,>5,none,<3,collision,legal
apr,1,tuesday,honda,urban,apr,2,fri,1994,1,0,male,single,policy-holder,sedan,20<=X<=29,16,400,4,>30,>30,one,6,31<=X<=35,no,no,external,1<=X<=2,none,<3,collision,legal
mar,2,sunday,pontiac,urban,mar,2,mon,1994,0,0,male,married,policy-holder,sedan,20<=X<=29,6,400,2,>30,>30,one,7,31<=X<=35,no,no,external,>5,none,<3,collision,legal
mar,2,monday,toyota,urban,mar,4,tue,1994,2,0,male,married,third-party,sedan,20<=X<=29,9,400,4,>30,>30,one,7,36<=X<=40,no,no,external,>5,none,<3,collision,legal
feb,4,monday,toyota,urban,mar,1,wed,1994,2,0,male,married,policy-holder,sedan,20<=X<=29,9,400,4,>30,>30,none,7,31<=X<=35,no,no,external,>5,none,<3,all-perils,legal
